Period,Goods,Current Account,Services,Primary Income,Secondary Income
Q1 2008,-216677,-183087,31126,38670,-36206
Q2 2008,-220469,-178243,34120,39734,-31628
Q3 2008,-219624,-176913,30175,44041,-31505
Q4 2008,-175722,-152547,28346,23701,-28872
Q1 2009,-123499,-98232,28728,25319,-28780
Q2 2009,-111984,-89031,30540,24366,-31954
Q3 2009,-129950,-94131,31403,37922,-33506
Q4 2009,-144262,-102630,35250,35977,-29595
Q1 2010,-152461,-108212,34507,43785,-34043
Q2 2010,-165200,-114037,36446,44232,-29515
Q3 2010,-168786,-117844,39411,42828,-31296
Q4 2010,-162230,-101868,43656,46816,-30110
Q1 2011,-181536,-118240,47217,50302,-34223
Q2 2011,-186717,-121031,47838,51219,-33371
Q3 2011,-183307,-108409,49345,57613,-32060
Q4 2011,-189086,-112675,47620,61827,-33036
Q1 2012,-193976,-120294,49205,57962,-33485
Q2 2012,-187183,-116808,50498,52765,-32888
Q3 2012,-177957,-105423,50416,52954,-30836
Q4 2012,-182055,-104003,54278,52112,-28338
Q1 2013,-178437,-98980,58827,50239,-29609
Q2 2013,-177126,-94833,59394,54783,-31885
Q3 2013,-177570,-92725,60500,56761,-32416
Q4 2013,-169112,-79883,61647,57187,-29605
Q1 2014,-185712,-94654,65199,56746,-30887
Q2 2014,-191836,-94060,66002,54623,-22849
Q3 2014,-184677,-95619,65262,59325,-35529
Q3 2014,-189944,-107726,65531,53310,-36623
Q1 2015,-193517,-114549,67003,48351,-36386
Q2 2015,-190876,-111904,66848,45071,-32947
Q3 2015,-189768,-123106,64157,41848,-39343
Q4 2015,-188404,-113406,64195,47115,-36312
Q1 2016,-186429,-124671,64557,37498,-40297